,TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
396,2004,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,268653,
397,2004,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5067,
398,2004,France,Number,Males,Total,Tuberculosis,433,
399,2004,France,Number,Males,Total,Meningococcal infection,18,
400,2004,France,Number,Males,Total,Viral hepatitis,399,
401,2004,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,766,
402,2004,France,Number,Males,Total,Neoplasms,92071,
403,2004,France,Number,Males,Total,Malignant neoplasms (C00-C97),88852,
404,2004,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3623,
405,2004,France,Number,Males,Total,Malignant neoplasm of oesophagus,3257,
406,2004,France,Number,Males,Total,Malignant neoplasm of stomach,3216,
407,2004,France,Number,Males,Total,Malignant neoplasm of colon,6541,
408,2004,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2363,
409,2004,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5345,
410,2004,France,Number,Males,Total,Malignant neoplasm of pancreas,4088,
411,2004,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22965,
412,2004,France,Number,Males,Total,Malignant melanoma of skin,775,
413,2004,France,Number,Males,Total,Malignant neoplasm of breast,206,
414,2004,France,Number,Males,Total,Malignant neoplasm of cervix uteri,0,
415,2004,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,0,
416,2004,France,Number,Males,Total,Malignant neoplasm of ovary,0,
417,2004,France,Number,Males,Total,Malignant neoplasm of prostate,9398,
418,2004,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",1960,
419,2004,France,Number,Males,Total,Malignant neoplasm of bladder,3460,
420,2004,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6625,
421,2004,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1003,
422,2004,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",8426,
423,2004,France,Number,Males,Total,Diabetes mellitus,5344,
