,TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
0,2001,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,277858,
1,2001,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5347,
2,2001,France,Number,Males,Total,Tuberculosis,545,
3,2001,France,Number,Males,Total,Meningococcal infection,30,
4,2001,France,Number,Males,Total,Viral hepatitis,471,
5,2001,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,892,
6,2001,France,Number,Males,Total,Neoplasms,91737,
7,2001,France,Number,Males,Total,Malignant neoplasms (C00-C97),88481,
8,2001,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3755,
9,2001,France,Number,Males,Total,Malignant neoplasm of oesophagus,3442,
10,2001,France,Number,Males,Total,Malignant neoplasm of stomach,3213,
11,2001,France,Number,Males,Total,Malignant neoplasm of colon,6274,
12,2001,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2242,
13,2001,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5258,
14,2001,France,Number,Males,Total,Malignant neoplasm of pancreas,3788,
15,2001,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22457,
16,2001,France,Number,Males,Total,Malignant melanoma of skin,761,
17,2001,France,Number,Males,Total,Malignant neoplasm of breast,177,
18,2001,France,Number,Males,Total,Malignant neoplasm of cervix uteri,0,
19,2001,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,0,
20,2001,France,Number,Males,Total,Malignant neoplasm of ovary,0,
21,2001,France,Number,Males,Total,Malignant neoplasm of prostate,9327,
22,2001,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",1937,
23,2001,France,Number,Males,Total,Malignant neoplasm of bladder,3231,
24,2001,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6863,
25,2001,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1000,
26,2001,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",8356,
27,2001,France,Number,Males,Total,Diabetes mellitus,5318,
28,2001,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),7468,
29,2001,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,2523,
30,2001,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",127,
31,2001,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),9497,
32,2001,France,Number,Males,Total,Meningitis,80,
33,2001,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),75350,
34,2001,France,Number,Males,Total,Ischaemic heart diseases,24913,
35,2001,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",19513,
36,2001,France,Number,Males,Total,Cerebrovascular diseases,16223,
37,2001,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),17292,
38,2001,France,Number,Males,Total,Influenza,76,
39,2001,France,Number,Males,Total,Pneumonia,4947,
40,2001,France,Number,Males,Total,Chronic lower respiratory diseases,5566,
41,2001,France,Number,Males,Total,Asthma and status asthmaticus,647,
42,2001,France,Number,Males,Total,Diseases of the digestive system (K00-K93),13226,
43,2001,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",486,
44,2001,France,Number,Males,Total,Chronic liver disease,6174,
45,2001,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),628,
46,2001,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),1387,
47,2001,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",164,
48,2001,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),3698,
49,2001,France,Number,Males,Total,Diseases of kidney and ureter,2809,
50,2001,France,Number,Males,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",0,
51,2001,France,Number,Males,Total,Certain conditions originating in the perinatal period (P00-P96),1006,
52,2001,France,Number,Males,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",892,
53,2001,France,Number,Males,Total,Congenital malformations of the nervous system,88,
54,2001,France,Number,Males,Total,Congenital malformations of the circulatory system,329,
55,2001,France,Number,Males,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",15872,
56,2001,France,Number,Males,Total,Sudden infant death syndrome,229,
57,2001,France,Number,Males,Total,Ill-defined and unknown causes of mortality,7726,
58,2001,France,Number,Males,Total,External causes of morbidity and mortality (V01-Y89),25102,
59,2001,France,Number,Males,Total,Accidents,15867,
60,2001,France,Number,Males,Total,Transport accidents (V01-V99),5840,
61,2001,France,Number,Males,Total,Falls,2546,
62,2001,France,Number,Males,Total,Accidental poisoning by and exposure to noxious substances,459,
63,2001,France,Number,Males,Total,Intentional self-harm,7798,
64,2001,France,Number,Males,Total,Assault,324,
65,2001,France,Number,Males,Total,Event of undetermined intent,553,
66,2001,France,Number,Females,Total,All causes of death (A00-Y89) excluding S00-T98,263325,
67,2001,France,Number,Females,Total,Certain infectious and parasitic diseases (A00-B99),5157,
68,2001,France,Number,Females,Total,Tuberculosis,516,
69,2001,France,Number,Females,Total,Meningococcal infection,15,
70,2001,France,Number,Females,Total,Viral hepatitis,439,
