,TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
924,2008,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,277598,
925,2008,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5434,
926,2008,France,Number,Males,Total,Tuberculosis,343,
927,2008,France,Number,Males,Total,Meningococcal infection,18,
928,2008,France,Number,Males,Total,Viral hepatitis,462,
929,2008,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,518,
930,2008,France,Number,Males,Total,Neoplasms,93872,
931,2008,France,Number,Males,Total,Malignant neoplasms (C00-C97),90481,
932,2008,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3217,
933,2008,France,Number,Males,Total,Malignant neoplasm of oesophagus,3175,
934,2008,France,Number,Males,Total,Malignant neoplasm of stomach,3020,
935,2008,France,Number,Males,Total,Malignant neoplasm of colon,6505,
936,2008,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2533,
937,2008,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5544,
938,2008,France,Number,Males,Total,Malignant neoplasm of pancreas,4767,
939,2008,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",23491,
940,2008,France,Number,Males,Total,Malignant melanoma of skin,916,
941,2008,France,Number,Males,Total,Malignant neoplasm of breast,195,
942,2008,France,Number,Males,Total,Malignant neoplasm of cervix uteri,0,
943,2008,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,0,
944,2008,France,Number,Males,Total,Malignant neoplasm of ovary,0,
945,2008,France,Number,Males,Total,Malignant neoplasm of prostate,9195,
946,2008,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",2059,
947,2008,France,Number,Males,Total,Malignant neoplasm of bladder,3527,
948,2008,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",7043,
949,2008,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1004,
950,2008,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",8892,
951,2008,France,Number,Males,Total,Diabetes mellitus,5615,
952,2008,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),7718,
953,2008,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,2510,
954,2008,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",171,
955,2008,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),12373,
956,2008,France,Number,Males,Total,Meningitis,79,
957,2008,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),69721,
958,2008,France,Number,Males,Total,Ischaemic heart diseases,21842,
959,2008,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",19698,
960,2008,France,Number,Males,Total,Cerebrovascular diseases,13951,
961,2008,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),17516,
962,2008,France,Number,Males,Total,Influenza,82,
963,2008,France,Number,Males,Total,Pneumonia,5107,
964,2008,France,Number,Males,Total,Chronic lower respiratory diseases,5808,
965,2008,France,Number,Males,Total,Asthma and status asthmaticus,336,
966,2008,France,Number,Males,Total,Diseases of the digestive system (K00-K93),12981,
967,2008,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",440,
968,2008,France,Number,Males,Total,Chronic liver disease,5440,
969,2008,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),532,
970,2008,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),1344,
971,2008,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",136,
972,2008,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),4540,
973,2008,France,Number,Males,Total,Diseases of kidney and ureter,3559,
974,2008,France,Number,Males,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",0,
975,2008,France,Number,Males,Total,Certain conditions originating in the perinatal period (P00-P96),876,
976,2008,France,Number,Males,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",762,
977,2008,France,Number,Males,Total,Congenital malformations of the nervous system,68,
978,2008,France,Number,Males,Total,Congenital malformations of the circulatory system,279,
979,2008,France,Number,Males,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",16895,
980,2008,France,Number,Males,Total,Sudden infant death syndrome,152,
981,2008,France,Number,Males,Total,Ill-defined and unknown causes of mortality,7323,
982,2008,France,Number,Males,Total,External causes of morbidity and mortality (V01-Y89),23138,
983,2008,France,Number,Males,Total,Accidents,13815,
984,2008,France,Number,Males,Total,Transport accidents (V01-V99),3506,
985,2008,France,Number,Males,Total,Falls,2836,
986,2008,France,Number,Males,Total,Accidental poisoning by and exposure to noxious substances,785,
987,2008,France,Number,Males,Total,Intentional self-harm,7797,
988,2008,France,Number,Males,Total,Assault,347,
989,2008,France,Number,Males,Total,Event of undetermined intent,300,
990,2008,France,Number,Females,Total,All causes of death (A00-Y89) excluding S00-T98,265541,
991,2008,France,Number,Females,Total,Certain infectious and parasitic diseases (A00-B99),5486,
992,2008,France,Number,Females,Total,Tuberculosis,310,
993,2008,France,Number,Females,Total,Meningococcal infection,17,
994,2008,France,Number,Females,Total,Viral hepatitis,359,
995,2008,France,Number,Females,Total,Human immunodeficiency virus [HIV] disease,180,
996,2008,France,Number,Females,Total,Neoplasms,66897,
997,2008,France,Number,Females,Total,Malignant neoplasms (C00-C97),63494,
998,2008,France,Number,Females,Total,"Malignant neoplasm of lip, oral cavity, pharynx",762,
999,2008,France,Number,Females,Total,Malignant neoplasm of oesophagus,776,
1000,2008,France,Number,Females,Total,Malignant neoplasm of stomach,1821,
1001,2008,France,Number,Females,Total,Malignant neoplasm of colon,6156,
1002,2008,France,Number,Females,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",1959,
1003,2008,France,Number,Females,Total,Malignant neoplasm of liver and intrahepatic bile ducts,2119,
1004,2008,France,Number,Females,Total,Malignant neoplasm of pancreas,4404,
1005,2008,France,Number,Females,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",7043,
1006,2008,France,Number,Females,Total,Malignant melanoma of skin,750,
1007,2008,France,Number,Females,Total,Malignant neoplasm of breast,11781,
1008,2008,France,Number,Females,Total,Malignant neoplasm of cervix uteri,776,
1009,2008,France,Number,Females,Total,Malignant neoplasm of other parts of uterus,2434,
1010,2008,France,Number,Females,Total,Malignant neoplasm of ovary,3458,
1011,2008,France,Number,Females,Total,Malignant neoplasm of prostate,0,
1012,2008,France,Number,Females,Total,"Malignant neoplasm of kidney, except renal pelvis",1049,
1013,2008,France,Number,Females,Total,Malignant neoplasm of bladder,1177,
1014,2008,France,Number,Females,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6099,
1015,2008,France,Number,Females,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1252,
1016,2008,France,Number,Females,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",11286,
1017,2008,France,Number,Females,Total,Diabetes mellitus,6098,
1018,2008,France,Number,Females,Total,Mental and behavioural disorders (F00-F99),9962,
1019,2008,France,Number,Females,Total,Mental and behavioural disorders due to use of alcohol,629,
1020,2008,France,Number,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",31,
1021,2008,France,Number,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),18698,
1022,2008,France,Number,Females,Total,Meningitis,75,
1023,2008,France,Number,Females,Total,Diseases of the circulatory system (I00-I99),79820,
1024,2008,France,Number,Females,Total,Ischaemic heart diseases,16464,
1025,2008,France,Number,Females,Total,"Other heart diseases (I30-I33, I39-I52)",26136,
1026,2008,France,Number,Females,Total,Cerebrovascular diseases,19211,
1027,2008,France,Number,Females,Total,Diseases of the respiratory system (J00-J99),15743,
1028,2008,France,Number,Females,Total,Influenza,124,
1029,2008,France,Number,Females,Total,Pneumonia,5701,
1030,2008,France,Number,Females,Total,Chronic lower respiratory diseases,3483,
1031,2008,France,Number,Females,Total,Asthma and status asthmaticus,613,
1032,2008,France,Number,Females,Total,Diseases of the digestive system (K00-K93),11049,
1033,2008,France,Number,Females,Total,"Ulcer of stomach, duodenum and jejunum",448,
1034,2008,France,Number,Females,Total,Chronic liver disease,2234,
1035,2008,France,Number,Females,Total,Diseases of the skin and subcutaneous tissue (L00-L99),1124,
1036,2008,France,Number,Females,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),2399,
1037,2008,France,Number,Females,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",505,
1038,2008,France,Number,Females,Total,Diseases of the genitourinary system  (N00-N99),4676,
1039,2008,France,Number,Females,Total,Diseases of kidney and ureter,3606,
1040,2008,France,Number,Females,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",64,
1041,2008,France,Number,Females,Total,Certain conditions originating in the perinatal period (P00-P96),695,
1042,2008,France,Number,Females,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",740,
1043,2008,France,Number,Females,Total,Congenital malformations of the nervous system,59,
1044,2008,France,Number,Females,Total,Congenital malformations of the circulatory system,261,
1045,2008,France,Number,Females,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",20789,
1046,2008,France,Number,Females,Total,Sudden infant death syndrome,109,
