,TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
528,2005,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,276553,
529,2005,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5206,
530,2005,France,Number,Males,Total,Tuberculosis,443,
531,2005,France,Number,Males,Total,Meningococcal infection,12,
532,2005,France,Number,Males,Total,Viral hepatitis,430,
533,2005,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,685,
534,2005,France,Number,Males,Total,Neoplasms,93550,
535,2005,France,Number,Males,Total,Malignant neoplasms (C00-C97),90157,
536,2005,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3442,
537,2005,France,Number,Males,Total,Malignant neoplasm of oesophagus,3323,
538,2005,France,Number,Males,Total,Malignant neoplasm of stomach,3177,
539,2005,France,Number,Males,Total,Malignant neoplasm of colon,6461,
540,2005,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2395,
541,2005,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5516,
542,2005,France,Number,Males,Total,Malignant neoplasm of pancreas,4235,
543,2005,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",23467,
544,2005,France,Number,Males,Total,Malignant melanoma of skin,810,
545,2005,France,Number,Males,Total,Malignant neoplasm of breast,203,
546,2005,France,Number,Males,Total,Malignant neoplasm of cervix uteri,0,
547,2005,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,0,
548,2005,France,Number,Males,Total,Malignant neoplasm of ovary,0,
549,2005,France,Number,Males,Total,Malignant neoplasm of prostate,9393,
550,2005,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",1977,
551,2005,France,Number,Males,Total,Malignant neoplasm of bladder,3611,
552,2005,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6785,
553,2005,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,983,
554,2005,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",8597,
555,2005,France,Number,Males,Total,Diabetes mellitus,5594,
556,2005,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),7424,
557,2005,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,2534,
558,2005,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",145,
559,2005,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),11207,
560,2005,France,Number,Males,Total,Meningitis,83,
561,2005,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),71557,
562,2005,France,Number,Males,Total,Ischaemic heart diseases,23300,
563,2005,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",19344,
564,2005,France,Number,Males,Total,Cerebrovascular diseases,14844,
565,2005,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),18366,
566,2005,France,Number,Males,Total,Influenza,368,
567,2005,France,Number,Males,Total,Pneumonia,5225,
568,2005,France,Number,Males,Total,Chronic lower respiratory diseases,6026,
569,2005,France,Number,Males,Total,Asthma and status asthmaticus,433,
570,2005,France,Number,Males,Total,Diseases of the digestive system (K00-K93),12758,
571,2005,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",466,
572,2005,France,Number,Males,Total,Chronic liver disease,5579,
573,2005,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),535,
574,2005,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),1256,
575,2005,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",149,
576,2005,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),4184,
