,TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
660,2006,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,271406,
661,2006,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5331,
662,2006,France,Number,Males,Total,Tuberculosis,402,
663,2006,France,Number,Males,Total,Meningococcal infection,14,
664,2006,France,Number,Males,Total,Viral hepatitis,407,
665,2006,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,668,
666,2006,France,Number,Males,Total,Neoplasms,93207,
667,2006,France,Number,Males,Total,Malignant neoplasms (C00-C97),89915,
668,2006,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3473,
669,2006,France,Number,Males,Total,Malignant neoplasm of oesophagus,3193,
670,2006,France,Number,Males,Total,Malignant neoplasm of stomach,3166,
671,2006,France,Number,Males,Total,Malignant neoplasm of colon,6379,
672,2006,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2422,
673,2006,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5578,
674,2006,France,Number,Males,Total,Malignant neoplasm of pancreas,4307,
675,2006,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",23519,
676,2006,France,Number,Males,Total,Malignant melanoma of skin,818,
677,2006,France,Number,Males,Total,Malignant neoplasm of breast,191,
678,2006,France,Number,Males,Total,Malignant neoplasm of cervix uteri,0,
679,2006,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,0,
680,2006,France,Number,Males,Total,Malignant neoplasm of ovary,0,
681,2006,France,Number,Males,Total,Malignant neoplasm of prostate,9236,
682,2006,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",2034,
683,2006,France,Number,Males,Total,Malignant neoplasm of bladder,3579,
684,2006,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6836,
685,2006,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,962,
686,2006,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",8372,
687,2006,France,Number,Males,Total,Diabetes mellitus,5433,
688,2006,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),7201,
689,2006,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,2477,
690,2006,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",176,
691,2006,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),11398,
692,2006,France,Number,Males,Total,Meningitis,78,
693,2006,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),69625,
694,2006,France,Number,Males,Total,Ischaemic heart diseases,22363,
695,2006,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",18915,
696,2006,France,Number,Males,Total,Cerebrovascular diseases,14235,
697,2006,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),16581,
698,2006,France,Number,Males,Total,Influenza,50,
699,2006,France,Number,Males,Total,Pneumonia,4653,
700,2006,France,Number,Males,Total,Chronic lower respiratory diseases,5511,
701,2006,France,Number,Males,Total,Asthma and status asthmaticus,388,
702,2006,France,Number,Males,Total,Diseases of the digestive system (K00-K93),12758,
703,2006,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",398,
704,2006,France,Number,Males,Total,Chronic liver disease,5554,
705,2006,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),546,
706,2006,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),1234,
707,2006,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",137,
708,2006,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),4192,
709,2006,France,Number,Males,Total,Diseases of kidney and ureter,3258,
