,TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
264,2003,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,284729,
265,2003,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5616,
266,2003,France,Number,Males,Total,Tuberculosis,518,
267,2003,France,Number,Males,Total,Meningococcal infection,26,
268,2003,France,Number,Males,Total,Viral hepatitis,406,
269,2003,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,794,
270,2003,France,Number,Males,Total,Neoplasms,92631,
271,2003,France,Number,Males,Total,Malignant neoplasms (C00-C97),89397,
272,2003,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3635,
273,2003,France,Number,Males,Total,Malignant neoplasm of oesophagus,3401,
274,2003,France,Number,Males,Total,Malignant neoplasm of stomach,3174,
275,2003,France,Number,Males,Total,Malignant neoplasm of colon,6314,
276,2003,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2325,
277,2003,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5321,
278,2003,France,Number,Males,Total,Malignant neoplasm of pancreas,3946,
279,2003,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22700,
280,2003,France,Number,Males,Total,Malignant melanoma of skin,764,
281,2003,France,Number,Males,Total,Malignant neoplasm of breast,188,
282,2003,France,Number,Males,Total,Malignant neoplasm of cervix uteri,0,
283,2003,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,0,
284,2003,France,Number,Males,Total,Malignant neoplasm of ovary,0,
285,2003,France,Number,Males,Total,Malignant neoplasm of prostate,9695,
286,2003,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",2001,
287,2003,France,Number,Males,Total,Malignant neoplasm of bladder,3490,
288,2003,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6797,
289,2003,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,976,
290,2003,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",9403,
291,2003,France,Number,Males,Total,Diabetes mellitus,5611,
292,2003,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),7841,
293,2003,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,2552,
294,2003,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",120,
295,2003,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),10897,
296,2003,France,Number,Males,Total,Meningitis,82,
297,2003,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),75040,
298,2003,France,Number,Males,Total,Ischaemic heart diseases,24213,
299,2003,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",20036,
300,2003,France,Number,Males,Total,Cerebrovascular diseases,16120,
301,2003,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),18939,
302,2003,France,Number,Males,Total,Influenza,192,
303,2003,France,Number,Males,Total,Pneumonia,5514,
304,2003,France,Number,Males,Total,Chronic lower respiratory diseases,6108,
305,2003,France,Number,Males,Total,Asthma and status asthmaticus,516,
306,2003,France,Number,Males,Total,Diseases of the digestive system (K00-K93),13453,
307,2003,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",501,
308,2003,France,Number,Males,Total,Chronic liver disease,6122,
309,2003,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),613,
310,2003,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),1288,
311,2003,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",155,
312,2003,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),4121,
313,2003,France,Number,Males,Total,Diseases of kidney and ureter,3139,
314,2003,France,Number,Males,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",0,
315,2003,France,Number,Males,Total,Certain conditions originating in the perinatal period (P00-P96),910,
316,2003,France,Number,Males,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",858,
317,2003,France,Number,Males,Total,Congenital malformations of the nervous system,77,
318,2003,France,Number,Males,Total,Congenital malformations of the circulatory system,341,
