movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
Ender's Game,2012,Adventure,110000000,28000000,7583868,847264,Asa Butterfield,2013-11-01,Science Fiction,Live Action,Based on Fiction Book/Short Story,114,Gavin Hood,Summit Entertainment,0
Foodfight!,2012,Comedy,45000000,73706,,,Wayne Brady,,Kids Fiction,Digital Animation,Original Screenplay,,,Threshold Entertainment,0
Madagascar 3: Europe's Most Wanted,2012,Adventure,145000000,530529789,27184859,3511489,Eric Darnell,2012-06-08,Kids Fiction,Digital Animation,Original Screenplay,85,Eric Darnell,DreamWorks Animation,1
Pompeii,2012,Drama,80000000,85300000,2835866,239403,Kit Harington,2014-02-21,Historical Fiction,Live Action,Original Screenplay,102,Paul W.S. Anderson,Constantin Film International,0
The Avengers,2012,Adventure,225000000,896200000,78301450,6025168,Scarlett Johansson,2012-05-04,Super Hero,Animation/Live Action,Based on Comic/Graphic Novel,143,Joss Whedon,Marvel Studios,0
Brave,2012,Adventure,185000000,317324350,29808677,7265553,Emma Thompson,2012-06-22,Kids Fiction,Digital Animation,Original Screenplay,93,Mark Andrews,Disney-Pixar,0
Man of Steel,2012,Action,225000000,376954000,35798956,2575890,Henry Cavill,2013-06-14,Super Hero,Live Action,Based on Comic/Graphic Novel,142,Emma Thomas,Warner Bros.,1
The Amazing Spider-Man,2012,Adventure,220000000,495859604,32918425,2413452,Andrew Garfield,2012-07-03,Super Hero,Live Action,Based on Comic/Graphic Novel,136,Steve Kloves,Columbia Pictures,1
The Hobbit: An Unexpected Journey,2012,Adventure,250000000,714000000,33145087,4379272,Hugo Weaving,2012-12-14,Fantasy,Animation/Live Action,Based on Fiction Book/Short Story,169,Peter Jackson,New Line Cinema,1
The Croods,2012,Adventure,135000000,385900000,23021946,2666130,Ryan Reynolds,2013-03-22,Kids Fiction,Digital Animation,Original Screenplay,98,Chris Sanders,Dreamworks Animation,0
Rise of the Guardians,2012,Adventure,145000000,203488144,12214531,2331566,Chris Pine,2012-11-21,Kids Fiction,Digital Animation,Based on Fiction Book/Short Story,97,Peter Ramsey,DreamWorks Animation,0
Star Trek Into Darkness,2012,Adventure,190000000,238200000,28140056,1844489,Chris Pine,2013-05-16,Science Fiction,Live Action,Based on TV,132,J.J. Abrams,Bad Robot,1
Monsters University,2012,Adventure,200000000,475100000,33024394,3527191,Billy Crystal,2013-06-21,Kids Fiction,Digital Animation,Original Screenplay,102,Dan Scanlon,Disney-Pixar,1
"The Twilight Saga: Breaking Dawn, Part 2",2012,Drama,136200000,537400000,36323285,5866258,Kristen Stewart,2012-11-16,Fantasy,Live Action,Based on Fiction Book/Short Story,115,Bill Condon,Temple Hill Entertainment,1
Elysium,2012,Action,120000000,193141974,11445278,902086,Wagner Moura,2013-08-09,Science Fiction,Live Action,Original Screenplay,109,Neill Blomkamp,TriStar Pictures,0
The Dark Knight Rises,2012,Action,275000000,636300000,56298881,6158956,Christian Bale,2012-07-20,Super Hero,Live Action,Based on Comic/Graphic Novel,164,Christopher Nolan,Warner Bros,1
Wrath of the Titans,2012,Adventure,150000000,221600000,10511316,1400711,Sam Worthington,2012-03-30,Fantasy,Animation/Live Action,Based on Folk Tale/Legend/Fairytale,99,Jonathan Liebesman,Warner Bros,1
A Good Day to Die Hard,2012,Action,92000000,236900000,8284034,916105,Bruce Willis,2013-02-14,Contemporary Fiction,Live Action,Original Screenplay,98,John Moore,20th Century Fox,1
The Secret Life of Walter Mitty,2012,Comedy,91000000,130300000,5592983,651523,Ben Stiller,2013-12-25,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,114,Ben Stiller,Samuel Goldwyn Films,0
The Host,2012,Thriller/Suspense,50000000,37853350,3274747,396448,Saorise Ronan,2013-03-29,Science Fiction,Live Action,Based on Fiction Book/Short Story,88,Stephenie Meyer,Open Road Films,0
Kill Your Darlings,2012,Drama,0,1054866,93543,,Daniel Radcliffe,2013-10-18,Historical Fiction,Live Action,Based on Fiction Book/Short Story,102,John Krokidas,Killer Films,0
Escape Plan,2012,Thriller/Suspense,70000000,78600000,3082848,626000,Sylvester Stallone,2013-10-18,Contemporary Fiction,Live Action,Original Screenplay,115,Mikael Hafstrom,Summit Entertainment,0
Total Recall,2012,Action,125000000,152978119,7396729,799739,Colin Farrell,2012-08-03,Science Fiction,Live Action,Based on Fiction Book/Short Story,117,Kurt Wimmer,Sony Pictures,0
Gravity,2012,Thriller/Suspense,110000000,442300000,31441779,1668580,George Clooney,2013-10-04,Contemporary Fiction,Live Action,Original Screenplay,91,Alfonso Cuaron,Warner Bros.,0
Evil Dead,2012,Horror,17000000,43538500,6671569,480612,Jane Levy,2013-04-05,Fantasy,Live Action,Remake,91,Fede Alverez,TriStar Pictures,0
The Great Gatsby,2012,Drama,190000000,206200000,17815549,2028725,Leonardo DiCaprio,2013-05-10,Historical Fiction,Live Action,Based on Fiction Book/Short Story,141,Baz Luhrmann,Warner Bros.,0
G.I. Joe: Retaliation,2012,Action,140000000,249400000,15070487,1125760,Ray Stevenson,2013-03-27,Contemporary Fiction,Animation/Live Action,Based on Toy,110,Jon M. Chu,Paramount Pictures,1
Iron Man 3,2012,Action,200000000,806400000,50306552,1266101,"Robert Downey, Jr.",2013-05-03,Super Hero,Animation/Live Action,Based on Comic/Graphic Novel,130,Shane Black,Marvel Studios,1
Pain & Gain,2012,Action,26000000,31400000,6134722,679755,Mark Wahlberg,2013-04-26,Contemporary Fiction,Live Action,Based on Real Life Events,129,Michael Bay,De Line Pictures,0
Ice Age: Continental Drift,2012,Adventure,95000000,718443294,20251769,2735688,Ray Romano,2012-07-13,Fantasy,Digital Animation,Original Screenplay,87,Steve Martino,20th Century Fox,1
Skyfall,2012,Action,200000000,806166704,37286980,2905594,Daniel Craig,2012-11-09,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,143,Micheal G. Wilson,Eon Productions,1
Resident Evil: Retribution,2012,Action,65000000,196595466,5319790,941284,Milla Jovovich,2012-09-14,Science Fiction,Live Action,Based on Game,95,Paul W.S. Anderson,Screen Gems,1
Wreck-It Ralph,2012,Adventure,165000000,284000000,22424829,3252448,John C. Reilly,2012-11-02,Kids Fiction,Digital Animation,Original Screenplay,101,Rich Moore,Walt Disney Animation Studios,0
The Expendables 2,2012,Action,100000000,226951064,10681933,1674632,Sylvester Stallone,2012-08-17,Contemporary Fiction,Live Action,Original Screenplay,103,Simon West,Lionsgate,1
Mirror Mirror,2012,Adventure,85000000,108678315,8157684,1456896,Mark Povinelli ,2012-03-30,Fantasy,Live Action,Based on Folk Tale/Legend/Fairytale,95,Tarsem Singh,Relativity Media,0
Trance,2012,Thriller/Suspense,16000000,20271459,285681,,James McAvoy,2013-04-05,Contemporary Fiction,Live Action,Original Screenplay,101,Danny Boyle,Pathe of a Cloud Eight,0
American Reunion,2012,Comedy,50000000,180040376,7130506,1080433,Jason Biggs,2012-04-06,Contemporary Fiction,Live Action,Original Screenplay,112,Jon Hurwitz,Universal Pictures,1
Think Like a Man,2012,Romantic Comedy,12000000,4607919,11500905,1081662,Michael Ealy,2012-04-20,Contemporary Fiction,Live Action,Based on Factual Book/Article,122,Tim Story,Screen Gems,0
What to Expect When You're Expecting,2012,Romantic Comedy,37500000,39500000,5169874,461676,Cameron Diaz,2012-05-18,Contemporary Fiction,Live Action,Based on Factual Book/Article,109,Kirk Jones,Lionsgate,0
Zero Dark Thirty,2012,Drama,52500000,38891719,11231805,867093,Jessica Chastain,2012-12-19,Dramatization,Live Action,Based on Real Life Events,137,Kathryn Bigelow,Columbia Pictures,0
Mama,2012,Horror,15000000,76467386,8810354,456283,Jessica Chastain,2013-01-18,Fantasy,Live Action,Based on Short Film,109,Andres Muschietti,Universal Pictures,0
