movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
Nanny McPhee and the Big Bang,2010,Adventure,35000000,68602223,3676960,705091,Emma Thompson,2010-08-20,Kids Fiction,Live Action,Based on Fiction Book/Short Story,109,Debra Osborne,StudioCanal,1
Sex and the City 2,2010,Comedy,95000000,199333086,12084625,2463557,Sarah Jessica Parker,2010-05-27,Contemporary Fiction,Live Action,Based on TV,,Michael Patrick King,,1
The Rum Diary,2010,Drama,0,8434917,1653192,322440,Johnny Depp,2011-10-28,Historical Fiction,Live Action,Based on Fiction Book/Short Story,122,Bruce Robinson,Infinitum Nihil,0
The Last Station,2010,Drama,18000000,9078279,838766,,Anne-Marie Duff,2010-01-15,Dramatization,Live Action,Based on Fiction Book/Short Story,,,,0
Inception,2010,Thriller/Suspense,160000000,540008221,37080969,6633339,Michael Caine,2010-07-16,Science Fiction,Animation/Live Action,Original Screenplay,147,Christopher Nolan,,0
Death at a Funeral,2010,Comedy,21000000,6237886,5416900,861227,Peter Dinklage,2010-04-16,Contemporary Fiction,Live Action,Remake,92,Neil LaBute,Sidney Kimmel Entertianment,0
Straw Dogs,2010,Thriller/Suspense,25000000,929380,1301947,797194,James Marsden,2011-09-16,Contemporary Fiction,Live Action,Remake,110,Rod Lurie,Screen Gems,0
Cop Out,2010,Comedy,37000000,11034429,5687640,854142,Kevin Pollak,2010-02-26,Contemporary Fiction,Live Action,Original Screenplay,107,Kevin Smith,Warner Bros.,0
Daybreakers,2010,Horror,20000000,21343926,3815155,802640,Isabel Lucas,2010-01-08,Science Fiction,Live Action,Original Screenplay,,Michael Spierig,,0
The Sorcerer's Apprentice,2010,Adventure,160000000,154835329,8003927,1552613,Alfred Molina,2010-07-14,Fantasy,Animation/Live Action,Based on Short Film,108,Jon Turteltaub,Walt Disney Pictures,0
