movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
RoboCop,2013,Action,120000000,184374792,7173440,442503,Joel Kinnaman,2014-02-12,Science Fiction,Live Action,Remake,116,Jose Padilha,Strike Entertainment,0
We're the Millers,2013,Comedy,37000000,117422157,18498661,2163494,Will Poulter,2013-08-07,Contemporary Fiction,Live Action,Original Screenplay,100,Rawson Thurber,New Line Cinema,0
The Hobbit: The Desolation of Smaug,2013,Adventure,250000000,702000000,28174617,2866572,Martin Freeman,2013-12-13,Fantasy,Animation/Live Action,Based on Fiction Book/Short Story,201,Peter Jackson,Wingnut Films,1
The Lone Ranger,2013,Western,275000000,170700000,9770832,1451770,Johnny Depp,2013-07-02,Historical Fiction,Live Action,Based on TV,149,Gore Verbinski,Walt Disney Pictures,0
47 Ronin,2013,Action,175000000,113296587,4020624,437437,Hiroyuki Sanada,2013-12-25,Fantasy,Live Action,Original Screenplay,127,Carl Rinsch,Relativity Media,0
Dallas Buyers Club,2013,Drama,5000000,28939760,2005023,378524,Matthew McConaughey,2013-11-01,Dramatization,Live Action,Based on Real Life Events,117,Jean-Marc Vallee,Focus Features,0
Legends of Oz: Dorothy’s Return,2013,Adventure,70000000,11645586,1035782,119235,Lea Michele,2014-05-09,Kids Fiction,Digital Animation,Based on Fiction Book/Short Story,88,Will Finn,Summertime Entertainment,0
Maleficent,2013,Adventure,180000000,517000000,29548020,2152681,Angelina Jolie,2014-05-30,Fantasy,Live Action,Spin-Off,97,Robert Stromberg,Roth Films,0
How to Train Your Dragon 2,2013,Adventure,145000000,439100000,21664984,2307540,Jay Baruchel,2014-06-13,Fantasy,Digital Animation,Original Screenplay,102,Dean DeBlois,DreamWorks Animation,1
Kick-Ass 2,2013,Action,28000000,34333924,3541941,513894,Aaron Johnson,2013-08-16,Contemporary Fiction,Live Action,Based on Comic/Graphic Novel,103,Jeff Wadlow,Universal Pictures,0
Mr. Peabody & Sherman,2013,Adventure,145000000,158300000,13648277,1298798,Ty Burrell,2014-03-07,Kids Fiction,Digital Animation,Based on TV,91,Rob Minkoff,PDI,0
Tarzan,2013,Adventure,0,20200000,,1358,Kellan Lutz,,Kids Fiction,Digital Animation,Based on Fiction Book/Short Story,0,Reinhard Klooss,,0
Free Birds,2013,Comedy,55000000,54636592,6752094,732263,Owen Wilson,2013-11-01,Kids Fiction,Digital Animation,Original Screenplay,91,Jimmy Hayward,,0
The World's End,2013,Comedy,20000000,21503654,3198628,204433,Simon Pegg,2013-08-23,Science Fiction,Live Action,Original Screenplay,109,Edgar Wright,Focus Features,0
Under the Skin,2013,Thriller/Suspense,13300000,4615682,318854,87123,Scarlett Johansson,2014-04-04,Science Fiction,Live Action,Based on Fiction Book/Short Story,108,Jonathan Glazer,Nick Wechsler,0
The Wolverine,2013,Action,115000000,283900000,16304655,2430631,Hugh Jackman,2013-07-26,Super Hero,Live Action,Based on Comic/Graphic Novel,126,James Mangold,20th Century Fox,1
Turbo,2013,Adventure,135000000,203868448,10212562,2434316,Ryan Reynolds,2013-07-17,Kids Fiction,Digital Animation,Original Screenplay,96,David Soren,DreamWorks Animation,0
Despicable Me 2,2013,Comedy,76000000,606808379,45259130,8131955,Steve Carell,2013-07-03,Kids Fiction,Digital Animation,Original Screenplay,98,Chris Renaud,Universal Pictures,1
Thor: The Dark World,2013,Adventure,150000000,427000000,25024502,1871689,Natalie Portman,2013-11-08,Super Hero,Live Action,Based on Comic/Graphic Novel,111,Louis D'Esposito,Marvel Studios,1
Pacific Rim,2013,Action,190000000,309200000,12521882,1445568,Diego Klattenhoff,2013-07-12,Science Fiction,Live Action,Original Screenplay,131,Guillermo Del Toro,Warner Bros.,0
Frozen,2013,Adventure,150000000,873496971,36493447,12011114,Kristen Bell,2013-11-27,Kids Fiction,Digital Animation,Based on Folk Tale/Legend/Fairytale,102,Chris Buck,Walt Disney Animation Studios,0
Epic,2013,Adventure,100000000,155275759,13224930,2318476,Beyonce Knowles,2013-05-24,Kids Fiction,Digital Animation,Based on Fiction Book/Short Story,103,Chris Wedge,Blue Sky Studios,0
The Amazing Spider-Man 2,2013,Action,200000000,506142403,24829122,1243510,Andrew Garfield,2014-05-02,Super Hero,Live Action,Based on Comic/Graphic Novel,141,Marc Webb,Marvel Studios,1
The Hunger Games: Catching Fire,2013,Adventure,130000000,440200000,50078683,3876399,Philip Seymour Hoffman,2013-11-22,Science Fiction,Live Action,Based on Fiction Book/Short Story,146,Francis Lawrence,Lionsgate,1
The Smurfs 2,2013,Adventure,110000000,277529739,8735274,1232244,Hank Azaria,2013-07-31,Kids Fiction,Animation/Live Action,Based on Comic/Graphic Novel,104,Jordan Kerner,Columbia Pictures,1
Percy Jackson: Sea of Monsters,2013,Adventure,90000000,132300000,8427824,1683052,Logan Lerman,2013-08-07,Fantasy,Live Action,Based on Fiction Book/Short Story,105,Thor Freudenthal,1492 Pictures,1
RED 2,2013,Action,84000000,83900000,6551360,2016825,Bruce Willis,2013-07-19,Contemporary Fiction,Live Action,Based on Comic/Graphic Novel,116,Dean Parisot,Summit Entertainment,1
Now You See Me,2013,Thriller/Suspense,75000000,234000000,14480195,1072044,Isla Fisher,2013-05-31,Contemporary Fiction,Live Action,Original Screenplay,116,Stephen Pope,Summit Entertainment,0
Pixels,2013,Comedy,90000000,164819305,9408313,159413,Adam Sandler,2015-07-24,Science Fiction,Live Action,Based on Short Film,105,Chris Columbus,1492 Pictures,0
Captain Phillips,2013,Drama,55000000,113511767,12894801,1143036,Tom Hanks,2013-10-11,Dramatization,Live Action,Based on Real Life Events,133,Paul Greengrass,Columbia Pictures,0
The Hangover 3,2013,Comedy,103000000,249800000,13800746,912683,Bradley Cooper,2013-05-23,Contemporary Fiction,Live Action,Original Screenplay,100,Todd Phillips,Warner Bros.,1
Identity Thief,2013,Comedy,35000000,40854658,16544516,1314265,Morris Chestnut,2013-02-08,Contemporary Fiction,Live Action,Original Screenplay,147,Gary Hymes,Universal Pictures,0
