movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
Jurassic World,2015,Action,215000000,1016966151,77920909,1109651,Chris Pratt,2015-06-12,Science Fiction,Live Action,Based on Fiction Book/Short Story,124,Colin Trevorow,Universal Pictures,1
Ant-Man,2015,Action,130000000,338400000,21522460,,Paul Rudd,2015-07-17,Super Hero,Live Action,Based on Comic/Graphic Novel,117,Peyton Reed,Marvel Studios,0
The Age of Adaline,2015,Drama,30000000,17703764,5093163,264813,Blake Lively,2015-04-24,Fantasy,Live Action,Original Screenplay,112,Lee Toland Krieger,Sidney Kimmel Entertianment,0
Nie yin niang,2015,Drama,15000000,6200000,71129,,Zhou Yun,2015-08-27,Historical Fiction,Live Action,Remake,107,Hou Hsiao-hsien,SpotFilms,0
Mad Max: Fury Road,2015,Action,150000000,219500000,18355597,830010,Tom Hardy,2015-05-15,Science Fiction,Live Action,Original Screenplay,120,George Miller,Kennedy Miller Mitchell Productions,1
Entourage,2015,Comedy,30000000,13861922,3866595,60108,Kevin Connolly,2015-06-03,Contemporary Fiction,Live Action,Based on TV,104,Doug Ellin,Closest to the Hole,0
The Hunger Games: Mockingjay - Part 2,2015,Thriller/Suspense,160000000,296800000,27541916,,Jennifer Lawrence,2015-11-20,Science Fiction,Live Action,Based on Fiction Book/Short Story,136,Francis Lawrence,Lionsgate,1
The Avengers: Age of Ultron,2015,Action,250000000,945700000,54839410,1102604,Claudia Kim,2015-05-01,Super Hero,Live Action,Based on Comic/Graphic Novel,141,Joss Whedon,Marvel Studios,1
The Peanuts Movie,2015,Comedy,99000000,13200000,14564203,,Noah Schnapp,2015-11-06,Kids Fiction,,Based on Comic/Graphic Novel,89,Steve Martino,Blue Sky Studios,0
Hotel Transylvania 2,2015,Comedy,80000000,274100000,19999372,,Adam Sandler,2015-09-25,Kids Fiction,Digital Animation,Original Screenplay,89,Genndy Tartakovsky,Sony Pictures Animation,1
Fantastic Four,2015,Action,120000000,111000000,6704605,,Miles Teller,2015-08-07,Super Hero,Live Action,Based on Comic/Graphic Novel,100,Miguel Lopez-Castillo,Marv Films,0
The Longest Ride,2015,Drama,34000000,23700000,4473849,948579,Britt Robertson,2015-04-10,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,128,Nicholas Sparks,Fox 2000 Pictures,0
Self/Less,2015,Thriller/Suspense,26000000,15238333,1467107,,Ryan Reynolds,2015-07-10,Science Fiction,Live Action,Original Screenplay,117,Tarsem Singh,Ram Bergman Productions,0
Inside Out,2015,Adventure,175000000,496268061,42587140,0,Lewis Black,2015-06-19,Kids Fiction,Digital Animation,Original Screenplay,95,Pete Docter,Disney-Pixar,0
Terminator: Genisys,2015,Action,155000000,350400000,10724128,,Arnold Schwarzenegger,2015-07-01,Science Fiction,Live Action,Original Screenplay,126,Alan Taylor,Skydance Productions,1
Spectre,2015,Action,300000000,607500000,22191763,,Daniel Craig,2015-11-06,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,148,Sam Mendes,Eon Productions,1
Ted 2,2015,Comedy,0,134387223,9711449,,Mark Wahlberg,2015-06-26,Fantasy,Live Action,Original Screenplay,115,Seth MacFarlane,Fuzzy Door,1
Chappie,2015,Action,49000000,73432788,3771716,399934,Hugh Jackman,2015-03-06,Science Fiction,Live Action,Original Screenplay,120,Neill Blomkamp,Columbia Pictures,0
Crimson Peak,2015,Horror,0,42957902,3714494,,Tom Hiddleston,2015-10-16,Fantasy,Live Action,Original Screenplay,118,Guillermo Del Toro,Legendary Pictures,0
Spy!,2015,Comedy,65000000,122300000,13240825,533202,Melissa McCarthy,2015-06-05,Contemporary Fiction,Live Action,Original Screenplay,115,Paul Feig,Chernin Entertainment,0
Mission: Impossible - Rogue Nation,2015,Action,150000000,505825986,23302554,,Tom Cruise,2015-07-30,Contemporary Fiction,Live Action,Based on TV,131,Christopher McQuarrie,Bad Robot,1
Insidious Chapter 3,2015,Horror,10000000,68459886,6238776,98470,Dermot Mulroney,2015-06-05,Fantasy,Live Action,Original Screenplay,97,Leigh Whannell,Entertainment One,0
Regression,2015,Thriller/Suspense,0,13801431,,,Ethan Hawke,2016-02-05,Contemporary Fiction,Live Action,Original Screenplay,106,Alejandro Amenábar,Mod Entertainment,0
San Andreas,2015,Adventure,110000000,314400000,18541318,645772,Dwayne Johnson,2015-05-29,Science Fiction,Live Action,Original Screenplay,114,Brad Peyton,FPS,0
The Lazarus Effect,2015,Horror,5000000,2300000,3082624,126654,Olivia Wilde,2015-02-27,Science Fiction,Live Action,Original Screenplay,83,David Gelb,Blumhouse,0
Insurgent,2015,Action,110000000,165100000,15553055,786044,Theo James,2015-03-20,Science Fiction,Live Action,Based on Fiction Book/Short Story,118,Robert Schwentke,Red Wagon Entertainment,1
Pan,2015,Adventure,150000000,88800000,4151718,,Hugh Jackman,2015-10-09,Fantasy,Live Action,Based on Fiction Book/Short Story,111,Joe Wright,Warner Bros.,0
Everest,2015,Thriller/Suspense,0,160692315,5174366,,Josh Brolin,2015-09-18,Dramatization,Live Action,Based on Real Life Events,121,Baltasar Kormakur,Working Title Films,0
The Man From U.N.C.L.E.,2015,Action,75000000,60000000,5429523,,Henry Cavill,2015-08-14,Historical Fiction,Live Action,Based on TV,106,Guy Ritchie,Guy Ritchie,0
Run All Night,2015,Action,50000000,40500000,3161486,301500,Liam Neeson,2015-03-13,Contemporary Fiction,Live Action,Original Screenplay,114,Jaume Collet-Serra,Vertigo Entertainment,0
Focus,2015,Romantic Comedy,65000000,100500000,6435240,275948,Will Smith,2015-02-27,Contemporary Fiction,Live Action,Original Screenplay,105,Glenn Ficarra,Di Novi Pictures,0
Get Hard,2015,Comedy,40000000,16100000,10801846,918161,Will Ferrell,2015-03-27,Contemporary Fiction,Live Action,Original Screenplay,99,Etan Cohen,Gary Sanchez Productions,0
The Intern,2015,Comedy,40000000,113889246,8938587,,Robert De Niro,2015-09-25,Contemporary Fiction,Live Action,Original Screenplay,121,Nancy Meyers,Waverly Films,0
Taken 3,2015,Action,48000000,238400000,10663849,869573,Liam Neeson,2015-01-09,Contemporary Fiction,Live Action,Original Screenplay,118,Olivier Magaton,EuropaCorp,1
The Martian,2015,Thriller/Suspense,108000000,369133795,26417001,,Matt Damon,2015-10-02,Science Fiction,Live Action,Based on Fiction Book/Short Story,130,Ridley Scott,Scott Free Films,0
The Second Best Exotic Marigold Hotel,2015,Comedy,0,51200000,3952003,191605,Judi Dench,2015-03-06,Contemporary Fiction,Live Action,Original Screenplay,122,John Madden,Blueprint Films,0
Paul Blart: Mall Cop 2,2015,Comedy,38000000,36559052,8487238,461137,Raini Rodriguez,2015-04-17,Contemporary Fiction,Live Action,Original Screenplay,94,Andy Fickman,Happy Madison,1
Monkey Kingdom,2015,Documentary,0,315588,1963240,,Tina Fey,2015-04-17,Factual,Live Action,Based on Real Life Events,77,Mark Linfield,Crazy Ape,0
Magic Mike XXL,2015,Comedy,14500000,51800000,7886864,381808,Channing Tatum,2015-07-01,Contemporary Fiction,Live Action,Original Screenplay,115,Greg Jacobs,RatPac Entertainment,1
The Night Before,2015,Comedy,0,2600899,3974094,,Seth Rogen,2015-11-20,Contemporary Fiction,Live Action,Original Screenplay,101,Jonathan Levine,Columbia Pictures,0
Mortdecai,2015,Comedy,0,22700000,919490,137635,Johnny Depp,2015-01-23,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,107,David Koepp,Infinitum Nihil,0
Ricki and the Flash,2015,Drama,0,13270979,3204557,,Meryl Streep,2015-08-07,Contemporary Fiction,Live Action,Original Screenplay,100,Jonathan Demme,Marc Platt Productions,0
The Walk,2015,Drama,35000000,31910734,1211171,,Joseph Gordon-Levitt,2015-10-09,Dramatization,Live Action,Based on Real Life Events,124,Robert Zemeckis,ImageMovers,0
Far from the Madding Crowd,2015,Drama,0,17492950,1461947,,Carey Mulligan,2015-05-01,Historical Fiction,Live Action,Based on Fiction Book/Short Story,119,Thomas Vinterberg,DNA Films,0
Hot Pursuit,2015,Comedy,35000000,11100000,4131445,401027,Reese Witherspoon,2015-05-08,Contemporary Fiction,Live Action,Original Screenplay,87,Anne Fletcher,New Line Cinema,0
Point Break,2015,Action,100000000,14100000,,,Edgar Ramirez,2015-12-25,Contemporary Fiction,Live Action,Remake,0,Ericson Core,,0
Max,2015,Adventure,20000000,896846,5096326,176225,Thomas Haden Church,2015-06-26,Contemporary Fiction,Live Action,Original Screenplay,111,Boaz Yakin,Sunswept Entertainment,0
The Gunman,2015,Thriller/Suspense,40000000,2979543,1274163,82641,Sean Penn,2015-03-20,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,115,Pierre Morel,Silver Pictures,0
Scout's Guide to the Zombie Apocalypse,2015,Comedy,15000000,10300000,442418,,Tye Sheridan,2015-10-30,Fantasy,Live Action,Original Screenplay,93,Christopher Landon,Paramount Pictures,0
The Visit,2015,Thriller/Suspense,5000000,31973325,7779213,,Kathryn Hahn,2015-09-11,Fantasy,Live Action,Original Screenplay,94,M. Night Shyamalan,Blinding Edge Pictures,0
American Sniper,2015,Drama,58000000,197200000,272862,2063019,Bradley Cooper,2015-01-16,Dramatization,Live Action,Based on Factual Book/Article,132,Clint Eastwood,Mad Chance,0
The Vatican Tapes,2015,Horror,13000000,10342828,213233,2543,Michael Peña,2015-07-24,Fantasy,Live Action,Original Screenplay,91,Mark Neveldine,Lakeshore Entertainment,0
Bridge of Spies,2015,Thriller/Suspense,40000000,41900000,8211718,,Tom Hanks,2015-10-16,Historical Fiction,Live Action,Original Screenplay,141,Steven Spielberg,DreamWorks Pictures,0
Straight Outta Compton,2015,Drama,28000000,39388086,19242375,,"O'Shea Jackson, Jr.",2015-08-14,Dramatization,Live Action,Based on Real Life Events,146,F. Gary Gray,Broken Chair Flickz,0
Ex Machina,2015,Thriller/Suspense,13000000,12691165,3039542,235320,Oscar Isaac,2015-04-24,Science Fiction,Live Action,Original Screenplay,110,Alex Garland,DNA Films,0
Black Mass,2015,Drama,53000000,27500000,7476186,,Johnny Depp,2015-09-18,Dramatization,Live Action,Based on Factual Book/Article,122,Scott Cooper,Warner Bros.,0
Sinister 2,2015,Horror,10000000,24923805,3314331,,Shannyn Sossamon,2015-08-21,Fantasy,Live Action,Original Screenplay,97,Ciaran Foy,Focus Features,1
Seymour: An Introduction,2015,Documentary,0,37216,87185,,Seymour Bernstein,2015-03-13,Factual,Live Action,Based on Real Life Events,81,Ethan Hawke,Under the Influence Productions,0
Big Game,2015,Action,0,1613195,2957,107416,Samuel L. Jackson,2015-06-26,Contemporary Fiction,Live Action,Original Screenplay,90,Jalmari Helander,Subzero Film Entertainment,0
Just Jim,2015,Black Comedy,0,13507,,,Craig Roberts,2015-09-25,Contemporary Fiction,Live Action,Original Screenplay,0,Craig Roberts,Vox Pictures,0
The DUFF,2015,Comedy,8500000,9498291,4065751,327962,Mae Whitman,2015-02-20,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,100,Ari Sandel,Wonderland Sound and Vision,0
Paper Towns,2015,Drama,0,50400000,3823214,60276,Nat Wolff,2015-07-24,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,109,Michael H. Weber,Fox 2000 Pictures,0
The Last Witch Hunter,2015,Action,80000000,72975858,3241697,,Vin Diesel,2015-10-23,Fantasy,Live Action,Original Screenplay,98,Breck Eisner,Marc Canton,0
Rock the Kasbah,2015,Comedy,0,117118,360891,,Bill Murray,2015-10-23,Contemporary Fiction,Live Action,Original Screenplay,106,Barry Levinson,Venture 4th,0
Outcast,2015,Adventure,0,216567,,5741,Nicolas Cage,2015-02-06,Fantasy,Live Action,Original Screenplay,98,Nick Powell,Yunnan Film Group,0
The Transporter Refueled,2015,Action,22000000,50773906,1915133,,Ed Skrein,2015-09-04,Contemporary Fiction,Live Action,Original Screenplay,96,Camille Delamarre,EuropaCorp,0
Vacation,2015,Comedy,31000000,41771605,7035147,0,Ed Helms,2015-07-29,Contemporary Fiction,Live Action,Original Screenplay,98,John Francis Daley,Benderspink Productions,1
Krampus,2015,Black Comedy,15000000,3467285,2208399,,Toni Collette,2015-12-04,Fantasy,Live Action,Original Screenplay,98,Michael Dougherty,Legendary Pictures,0
Mr. Holmes,2015,Drama,0,9823103,2119193,,Ian McKellen,2015-07-17,Historical Fiction,Live Action,Based on Fiction Book/Short Story,105,Bill Condon,See-Saw Films,0
Secret in Their Eyes,2015,Thriller/Suspense,20000000,4650999,2112016,,Chiwetel Ejiofor,2015-11-19,Contemporary Fiction,Live Action,Remake,111,Billy Ray,STX Entertainment,0
Pay the Ghost,2015,Thriller/Suspense,0,711859,,,Nicolas Cage,2015-09-25,Fantasy,Live Action,Based on Fiction Book/Short Story,94,Uli Edel,Voltage Pictures,0
Louder Than Bombs,2015,Drama,0,17422,,,Gabriel Byrne,2015-11-06,Contemporary Fiction,Live Action,Original Screenplay,0,Jonathan Trier,Memento Films International,0
The Woman in Black 2: Angel of Death,2015,Horror,0,7000000,1839340,109779,Jeremy Irvine,2015-01-02,Fantasy,Live Action,Original Screenplay,98,Tom Harper,Talisman,1
By the Sea,2015,Drama,20000000,1393240,63919,,Brad Pitt,2015-11-13,Historical Fiction,Live Action,Original Screenplay,122,Angelina Jolie,Jolie Pas,0
Maze Runner: The Scorch Trials,2015,Thriller/Suspense,61000000,229000000,9720322,,Dylan O'Brien,2015-09-18,Science Fiction,Live Action,Based on Fiction Book/Short Story,131,Wes Ball,Gotham Group,1
Bone Tomahawk,2015,Western,0,1758,,,Fred Melamed,2015-10-23,Historical Fiction,Live Action,Original Screenplay,132,Dallas Sonnier,Caliber Media Company,0
The Diabolical,2015,Horror,0,23116,,,Ali Larter,2015-10-16,Science Fiction,Live Action,Original Screenplay,86,Alistair Legrand,Campfire,0
Gloria,2015,Drama,0,1267863,,694,Sofia Espinosa,2015-07-17,Dramatization,Live Action,Based on Real Life Events,110,Christian Keller,Pelo Suelto Mexico Films,0
Heist,2015,Thriller/Suspense,15000000,1591513,5989,,Robert De Niro,2015-11-12,Contemporary Fiction,Live Action,Original Screenplay,90,Scott Mann,Emmett Furla Oasis Films,0
The End of the Tour,2015,Drama,0,17843,356627,,Jason Segel,2015-07-31,Dramatization,Live Action,Based on Factual Book/Article,106,James Ponsoldt,Modern Man Films,0
Trainwreck,2015,Comedy,35000000,29371126,13146729,,Robert E. Torres,2015-07-17,Contemporary Fiction,Live Action,Original Screenplay,122,Judd Apatow,Apatow Productions,0
Jem and the Holograms,2015,Musical,0,88303,261008,,Aubrey Peeples,2015-10-23,Science Fiction,Live Action,Based on Toy,118,Jon M. Chu,Universal Pictures,0
Survivor,2015,Thriller/Suspense,20000000,616056,,173094,Pierce Brosnan,2015-05-29,Contemporary Fiction,Live Action,Original Screenplay,96,James McTeigue,Millennium Films,0
Steve Jobs,2015,Drama,0,6574162,2121730,,Michael Fassbender,2015-10-09,Dramatization,Live Action,Based on Factual Book/Article,121,Danny Boyle,Entertainment 360,0
Spooks: The Greater Good,2015,Action,0,5062305,,,Colin Firth,2015-05-08,Contemporary Fiction,Live Action,Based on TV,102,Bharat Nalluri,Pinewood Pictures,0
